--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
TSK-0031,Spill Kit & Chemical Spill Response Readiness Check - Monthly Check,CA-005,CTRL-016,OBL-0016,CLA-0016,AUTH-005,REG-006,STD-001,RSK-006,Hazardous chemical spill or improper storage,EHS,Hazmat & Chemical Safety,ROLE-010,Hazmat & Chemical Safety Site Team,EHS Manager (Regional),Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-010,BLD-028,1,ZN-056,RM-056,Spill Kit & Chemical Spill Response Readiness Check,AST-017,First Aid & Spill Kit Station,CHK-005,Hazmat & Chemical Safety Checklist,SOP-CA-005-031,CHK-005,Photo,N,QR Code,Medium,25,Audit Evidence
TSK-0032,Spill Kit & Chemical Spill Response Readiness Check - Quarterly Check,CA-005,CTRL-016,OBL-0016,CLA-0016,AUTH-005,REG-006,STD-001,RSK-006,Hazardous chemical spill or improper storage,EHS,Hazmat & Chemical Safety,ROLE-010,Hazmat & Chemical Safety Site Team,EHS Manager (Regional),Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-011,BLD-031,1,ZN-061,RM-061,Spill Kit & Chemical Spill Response Readiness Check,AST-017,First Aid & Spill Kit Station,CHK-015,Spill Response Readiness Log,SOP-CA-005-032,CHK-015,Photo,N,QR Code,Low,35,Pass/Fail
TSK-0033,Waste Segregation & Storage Verification - Daily Check,CA-006,CTRL-017,OBL-0017,CLA-0017,AUTH-004,REG-005,STD-002,RSK-010,Waste accumulation increasing fire fuel load,Facilities Management,Waste Management,ROLE-011,Waste Management Site Team,Facilities Manager,Daily,Fixed,Daily per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),24 hours,Escalate to Facilities Manager if overdue by SLA window,LOC-012,BLD-033,1,ZN-066,RM-066,Waste Segregation & Storage Verification,AST-027,Waste Compactor,CHK-006,Waste Management Checklist,SOP-CA-006-033,CHK-006,Photo,N,QR Code,High,45,Observation
TSK-0034,Waste Segregation & Storage Verification - Weekly Check,CA-006,CTRL-017,OBL-0017,CLA-0017,AUTH-004,REG-005,STD-002,RSK-010,Waste accumulation increasing fire fuel load,Facilities Management,Waste Management,ROLE-011,Waste Management Site Team,Facilities Manager,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-013,BLD-036,1,ZN-071,RM-071,Waste Segregation & Storage Verification,AST-027,Waste Compactor,CHK-016,Hazardous Waste Manifest Log,SOP-CA-006-034,CHK-016,Photo,N,QR Code,Medium,55,Deviation/NCR
TSK-0035,Hazardous Waste Disposal & Manifest Verification - Monthly Check,CA-006,CTRL-018,OBL-0018,CLA-0018,AUTH-004,REG-004,STD-002,RSK-010,Waste accumulation increasing fire fuel load,Facilities Management,Waste Management,ROLE-011,Waste Management Site Team,Facilities Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-014,BLD-038,1,ZN-076,RM-076,Hazardous Waste Disposal & Manifest Verification,AST-026,Hazardous Waste Storage Shed,CHK-006,Waste Management Checklist,SOP-CA-006-035,CHK-006,Photo,N,QR Code,Low,65,Audit Evidence
TSK-0036,Hazardous Waste Disposal & Manifest Verification - Quarterly Check,CA-006,CTRL-018,OBL-0018,CLA-0018,AUTH-004,REG-004,STD-002,RSK-010,Waste accumulation increasing fire fuel load,Facilities Management,Waste Management,ROLE-011,Waste Management Site Team,Facilities Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-016,BLD-041,1,ZN-081,RM-081,Hazardous Waste Disposal & Manifest Verification,AST-026,Hazardous Waste Storage Shed,CHK-016,Hazardous Waste Manifest Log,SOP-CA-006-036,CHK-016,Photo,N,QR Code,High,15,Pass/Fail
TSK-0037,Electrical Panel & Transformer Preventive Maintenance - Quarterly Check,CA-007,CTRL-019,OBL-0019,CLA-0019,AUTH-003,REG-003,STD-003,RSK-007,Electrical fault / transformer fire,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-017,BLD-043,1,ZN-086,RM-086,Electrical Panel & Transformer Preventive Maintenance,AST-023,Transformer Unit,CHK-007,FM Preventive Maintenance Checklist,SOP-CA-007-037,CHK-007,Digital Signature,Y,Mobile,Medium,25,Observation
TSK-0038,Electrical Panel & Transformer Preventive Maintenance - Half-Yearly Check,CA-007,CTRL-019,OBL-0019,CLA-0019,AUTH-003,REG-003,STD-003,RSK-007,Electrical fault / transformer fire,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-018,BLD-046,1,ZN-091,RM-091,Electrical Panel & Transformer Preventive Maintenance,AST-023,Transformer Unit,CHK-017,Utilities & Racking Inspection Log,SOP-CA-007-038,CHK-017,Digital Signature,Y,Mobile,Low,35,Deviation/NCR
TSK-0039,HVAC / Ventilation System Preventive Maintenance - Monthly Check,CA-007,CTRL-020,OBL-0020,CLA-0020,AUTH-006,REG-009,STD-003,RSK-015,Power outage disrupting fire/life-safety systems,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-019,BLD-048,1,ZN-096,RM-096,HVAC / Ventilation System Preventive Maintenance,AST-031,HVAC / Air Handling Unit,CHK-007,FM Preventive Maintenance Checklist,SOP-CA-007-039,CHK-007,Digital Signature,Y,Mobile,High,45,Audit Evidence
TSK-0040,HVAC / Ventilation System Preventive Maintenance - Quarterly Check,CA-007,CTRL-020,OBL-0020,CLA-0020,AUTH-006,REG-009,STD-003,RSK-015,Power outage disrupting fire/life-safety systems,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-001,BLD-001,1,ZN-001,RM-001,HVAC / Ventilation System Preventive Maintenance,AST-031,HVAC / Air Handling Unit,CHK-017,Utilities & Racking Inspection Log,SOP-CA-007-040,CHK-017,Digital Signature,Y,Mobile,Medium,55,Pass/Fail
TSK-0041,Racking System Structural Safety Inspection - Quarterly Check,CA-007,CTRL-021,OBL-0021,CLA-0021,AUTH-001,REG-001,STD-001,RSK-008,Rack collapse due to overloading,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-001,BLD-003,1,ZN-006,RM-006,Racking System Structural Safety Inspection,AST-019,Pallet Racking System,CHK-007,FM Preventive Maintenance Checklist,SOP-CA-007-041,CHK-007,Digital Signature,Y,Mobile,Low,65,Observation
TSK-0042,Racking System Structural Safety Inspection - Annual Check,CA-007,CTRL-021,OBL-0021,CLA-0021,AUTH-001,REG-001,STD-001,RSK-008,Rack collapse due to overloading,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-002,BLD-006,1,ZN-011,RM-011,Racking System Structural Safety Inspection,AST-019,Pallet Racking System,CHK-017,Utilities & Racking Inspection Log,SOP-CA-007-042,CHK-017,Digital Signature,Y,Mobile,High,15,Deviation/NCR
TSK-0043,Diesel Generator (DG) Set Operational Test - Weekly Check,CA-007,CTRL-022,OBL-0022,CLA-0022,AUTH-006,REG-008,STD-003,RSK-015,Power outage disrupting fire/life-safety systems,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-003,BLD-008,1,ZN-016,RM-016,Diesel Generator (DG) Set Operational Test,AST-024,Diesel Generator (DG) Backup Set,CHK-007,FM Preventive Maintenance Checklist,SOP-CA-007-043,CHK-007,Digital Signature,Y,Mobile,Medium,25,Audit Evidence
TSK-0044,Diesel Generator (DG) Set Operational Test - Monthly Check,CA-007,CTRL-022,OBL-0022,CLA-0022,AUTH-006,REG-008,STD-003,RSK-015,Power outage disrupting fire/life-safety systems,Facilities Management,FM Operations,ROLE-007,FM Operations Site Team,Facilities Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Facilities Manager if overdue by SLA window,LOC-004,BLD-011,1,ZN-021,RM-021,Diesel Generator (DG) Set Operational Test,AST-024,Diesel Generator (DG) Backup Set,CHK-017,Utilities & Racking Inspection Log,SOP-CA-007-044,CHK-017,Digital Signature,Y,Mobile,Low,35,Pass/Fail
TSK-0045,Effluent / STP Discharge Quality Testing - Fortnightly Check,CA-008,CTRL-023,OBL-0023,CLA-0023,AUTH-008,REG-011,STD-002,RSK-014,Environmental discharge / emission non-compliance,EHS,Environmental Compliance,ROLE-010,Environmental Compliance Site Team,EHS Manager (Regional),Fortnightly,Fixed,Fortnightly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-005,BLD-013,1,ZN-026,RM-026,Effluent / STP Discharge Quality Testing,AST-025,Effluent / STP Treatment Plant,CHK-008,Environmental Monitoring Log,SOP-CA-008-045,CHK-008,Lab Report,N,IoT Sensor,High,45,Observation
TSK-0046,Effluent / STP Discharge Quality Testing - Sensor Triggered Check,CA-008,CTRL-023,OBL-0023,CLA-0023,AUTH-008,REG-011,STD-002,RSK-014,Environmental discharge / emission non-compliance,EHS,Environmental Compliance,ROLE-010,Environmental Compliance Site Team,EHS Manager (Regional),Sensor Triggered,Triggered,Sensor Triggered per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-006,BLD-016,1,ZN-031,RM-031,Effluent / STP Discharge Quality Testing,AST-025,Effluent / STP Treatment Plant,CHK-018,Emission & Stack Monitoring Log,SOP-CA-008-046,CHK-018,Lab Report,N,IoT Sensor,Medium,55,Deviation/NCR
TSK-0047,Air Emission & DG Stack Monitoring - Quarterly Check,CA-008,CTRL-024,OBL-0024,CLA-0024,AUTH-008,REG-011,STD-002,RSK-014,Environmental discharge / emission non-compliance,EHS,Environmental Compliance,ROLE-010,Environmental Compliance Site Team,EHS Manager (Regional),Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-006,BLD-018,1,ZN-036,RM-036,Air Emission & DG Stack Monitoring,AST-024,Diesel Generator (DG) Backup Set,CHK-008,Environmental Monitoring Log,SOP-CA-008-047,CHK-008,Lab Report,N,IoT Sensor,Low,65,Audit Evidence
TSK-0048,Air Emission & DG Stack Monitoring - Half-Yearly Check,CA-008,CTRL-024,OBL-0024,CLA-0024,AUTH-008,REG-011,STD-002,RSK-014,Environmental discharge / emission non-compliance,EHS,Environmental Compliance,ROLE-010,Environmental Compliance Site Team,EHS Manager (Regional),Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-007,BLD-021,1,ZN-041,RM-041,Air Emission & DG Stack Monitoring,AST-024,Diesel Generator (DG) Backup Set,CHK-018,Emission & Stack Monitoring Log,SOP-CA-008-048,CHK-018,Lab Report,N,IoT Sensor,High,15,Pass/Fail
TSK-0049,Fire Risk Assessment Review - Annual Check,CA-009,CTRL-025,OBL-0025,CLA-0025,AUTH-007,REG-007,STD-004,RSK-001,Fire outbreak in racking/storage area,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-008,BLD-023,1,ZN-046,RM-046,Fire Risk Assessment Review,AST-013,Fire Alarm Control Panel,CHK-009,Hazard & Risk Assessment Review Form,SOP-CA-009-049,CHK-009,Form,N,Manual,Medium,25,Observation
TSK-0050,Fire Risk Assessment Review - Risk Triggered Check,CA-009,CTRL-025,OBL-0025,CLA-0025,AUTH-007,REG-007,STD-004,RSK-001,Fire outbreak in racking/storage area,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,Risk Triggered,Triggered,Risk Triggered per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-009,BLD-026,1,ZN-051,RM-051,Fire Risk Assessment Review,AST-013,Fire Alarm Control Panel,CHK-019,Audit & CAPA Tracker,SOP-CA-009-050,CHK-019,Form,N,Manual,Low,35,Deviation/NCR
TSK-0051,Internal Audit & Management Review - Half-Yearly Check,CA-009,CTRL-026,OBL-0026,CLA-0026,AUTH-002,REG-002,STD-006,RSK-011,Fire NOC / statutory certificate lapse,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-010,BLD-028,1,ZN-056,RM-056,Internal Audit & Management Review,AST-029,Access Control System,CHK-009,Hazard & Risk Assessment Review Form,SOP-CA-009-051,CHK-009,Form,N,Manual,High,45,Audit Evidence
TSK-0052,Internal Audit & Management Review - Annual Check,CA-009,CTRL-026,OBL-0026,CLA-0026,AUTH-002,REG-002,STD-006,RSK-011,Fire NOC / statutory certificate lapse,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-011,BLD-031,1,ZN-061,RM-061,Internal Audit & Management Review,AST-029,Access Control System,CHK-019,Audit & CAPA Tracker,SOP-CA-009-052,CHK-019,Form,N,Manual,Medium,55,Pass/Fail
TSK-0053,Incident Investigation & CAPA Closure Verification - Event Based Check,CA-009,CTRL-027,OBL-0027,CLA-0027,AUTH-006,REG-009,STD-004,RSK-011,Fire NOC / statutory certificate lapse,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,Event Based,Triggered,Event Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-012,BLD-033,1,ZN-066,RM-066,Incident Investigation & CAPA Closure Verification,AST-028,CCTV Surveillance Camera,CHK-009,Hazard & Risk Assessment Review Form,SOP-CA-009-053,CHK-009,Form,N,Manual,Low,65,Observation
TSK-0054,Incident Investigation & CAPA Closure Verification - AI Triggered Check,CA-009,CTRL-027,OBL-0027,CLA-0027,AUTH-006,REG-009,STD-004,RSK-011,Fire NOC / statutory certificate lapse,Compliance,Compliance,ROLE-015,Compliance Site Team,Regional Compliance Head,AI Triggered,Triggered,AI Triggered per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Regional Compliance Head if overdue by SLA window,LOC-013,BLD-036,1,ZN-071,RM-071,Incident Investigation & CAPA Closure Verification,AST-028,CCTV Surveillance Camera,CHK-019,Audit & CAPA Tracker,SOP-CA-009-054,CHK-019,Form,N,Manual,High,15,Deviation/NCR
TSK-0055,Insurance Warranty Clause Compliance Check - Half-Yearly Check,CA-010,CTRL-028,OBL-0028,CLA-0028,AUTH-002,REG-002,STD-005,RSK-012,Insurance policy warranty non-conformance,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-014,BLD-038,1,ZN-076,RM-076,Insurance Warranty Clause Compliance Check,AST-030,Water Storage Tank (Fire Reserve),CHK-010,Insurance & Risk Compliance Verification Form,SOP-CA-010-055,CHK-010,Form,N,Manual,Medium,25,Audit Evidence
TSK-0056,Insurance Warranty Clause Compliance Check - Annual Check,CA-010,CTRL-028,OBL-0028,CLA-0028,AUTH-002,REG-002,STD-005,RSK-012,Insurance policy warranty non-conformance,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-016,BLD-041,1,ZN-081,RM-081,Insurance Warranty Clause Compliance Check,AST-030,Water Storage Tank (Fire Reserve),CHK-020,Fire NOC / Warranty Renewal Tracker,SOP-CA-010-056,CHK-020,Form,N,Manual,Low,35,Pass/Fail
TSK-0057,Fire NOC / Statutory Certificate Renewal Tracking - Annual Check,CA-010,CTRL-029,OBL-0029,CLA-0029,AUTH-002,REG-002,STD-004,RSK-011,Fire NOC / statutory certificate lapse,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-017,BLD-043,1,ZN-086,RM-086,Fire NOC / Statutory Certificate Renewal Tracking,AST-013,Fire Alarm Control Panel,CHK-010,Insurance & Risk Compliance Verification Form,SOP-CA-010-057,CHK-010,Form,N,Manual,High,45,Observation
TSK-0058,Fire NOC / Statutory Certificate Renewal Tracking - Condition Based Check,CA-010,CTRL-029,OBL-0029,CLA-0029,AUTH-002,REG-002,STD-004,RSK-011,Fire NOC / statutory certificate lapse,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-018,BLD-046,1,ZN-091,RM-091,Fire NOC / Statutory Certificate Renewal Tracking,AST-013,Fire Alarm Control Panel,CHK-020,Fire NOC / Warranty Renewal Tracker,SOP-CA-010-058,CHK-020,Form,N,Manual,Medium,55,Deviation/NCR
TSK-0059,Risk Engineering Survey Recommendation Closure - Quarterly Check,CA-010,CTRL-030,OBL-0030,CLA-0030,AUTH-006,REG-010,STD-004,RSK-012,Insurance policy warranty non-conformance,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-019,BLD-048,1,ZN-096,RM-096,Risk Engineering Survey Recommendation Closure,AST-028,CCTV Surveillance Camera,CHK-010,Insurance & Risk Compliance Verification Form,SOP-CA-010-059,CHK-010,Form,N,Manual,Low,65,Audit Evidence
TSK-0060,Risk Engineering Survey Recommendation Closure - Condition Based Check,CA-010,CTRL-030,OBL-0030,CLA-0030,AUTH-006,REG-010,STD-004,RSK-012,Insurance policy warranty non-conformance,Risk & Insurance,Risk Management,ROLE-014,Risk Management Site Team,Insurance & Risk Compliance Manager,Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window,LOC-001,BLD-001,1,ZN-001,RM-001,Risk Engineering Survey Recommendation Closure,AST-028,CCTV Surveillance Camera,CHK-020,Fire NOC / Warranty Renewal Tracker,SOP-CA-010-060,CHK-020,Form,N,Manual,High,15,Pass/Fail


--- WORKSHEET: 10_Organization_Mapping ---

Company,Business Unit,Department,RoleID,Role Title,Approval Authority (Y/N)
Vantage Industrial Parks & Logistics REIT,Warehouse Operations,Site Operations,ROLE-001,Warehouse Operations Manager,N
Vantage Industrial Parks & Logistics REIT,Warehouse Operations,Site Operations,ROLE-002,Shift Warehouse Supervisor,N
Vantage Industrial Parks & Logistics REIT,EHS,Safety,ROLE-003,EHS Officer (Site),N
Vantage Industrial Parks & Logistics REIT,EHS,Safety,ROLE-004,EHS Manager (Regional),Y
Vantage Industrial Parks & Logistics REIT,EHS,Fire & Life Safety,ROLE-005,Fire & Safety Officer,N
Vantage Industrial Parks & Logistics REIT,EHS,Fire & Life Safety,ROLE-006,Fire & Safety Manager,Y
Vantage Industrial Parks & Logistics REIT,Facilities Management,FM Operations,ROLE-007,Facilities Executive,N
Vantage Industrial Parks & Logistics REIT,Facilities Management,FM Operations,ROLE-008,Facilities Manager,Y
Vantage Industrial Parks & Logistics REIT,Facilities Management,Utilities,ROLE-009,MEP / Utilities Engineer,N
Vantage Industrial Parks & Logistics REIT,EHS,Hazmat & Chemical Safety,ROLE-010,Hazardous Materials Coordinator,N
Vantage Industrial Parks & Logistics REIT,Facilities Management,Waste Management,ROLE-011,Waste Management Coordinator,N
Vantage Industrial Parks & Logistics REIT,EHS,Emergency Response,ROLE-012,Emergency Response Team Lead,Y
Vantage Industrial Parks & Logistics REIT,Security,Site Security,ROLE-013,Security & Access Control Officer,N
Vantage Industrial Parks & Logistics REIT,Risk & Insurance,Risk Management,ROLE-014,Insurance & Risk Compliance Manager,Y
Vantage Industrial Parks & Logistics REIT,Compliance,Compliance,ROLE-015,Regional Compliance Head,Y
Vantage Industrial Parks & Logistics REIT,Facilities Management,Vendor Management,ROLE-016,Fire Suppression Vendor Coordinator (AMC),N


--- WORKSHEET: 11_Spatial_Mapping ---

Company,SiteID,Site Name,BuildingID,Building Name,Floor,ZoneID,Zone Name,RoomID,Room Name
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-001,Warehouse 1 - Bengaluru,1,ZN-001,Loading Dock & Yard,RM-001,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-001,Warehouse 1 - Bengaluru,1,ZN-002,MEP / Utility Room,RM-002,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-002,Warehouse 2 - Bengaluru,1,ZN-003,MEP / Utility Room,RM-003,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-002,Warehouse 2 - Bengaluru,1,ZN-004,Battery Charging & MHE Yard,RM-004,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-003,Warehouse 3 - Bengaluru,1,ZN-005,Battery Charging & MHE Yard,RM-005,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-001,Bengaluru Industrial & Logistics Park,BLD-003,Warehouse 3 - Bengaluru,1,ZN-006,Fire Pump House,RM-006,Pump House
